SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
PWP751216,"Cs(5) 12x16 7/8"" Smooth Primed",5,1,Artist Panel Smooth,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751616,"Cs(5) 16x16 7/8"" Smooth Primed",5,1,Artist Panel Smooth,,16,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751620,"Cs(5) 16x20 7/8"" Smooth Primed",5,1,Artist Panel Smooth,,16,20,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751824,"Cs(5) 18x24 7/8"" Smooth Primed",5,1,Artist Panel Smooth,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPP150606,"Cs(10) 6x6 1.5"" Unprimed Panel",10,1,Artist Panel Basswood,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPP150808,"Cs(10) 8x8 1.5"" Unprimed Panel",10,1,Artist Panel Basswood,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPP750606,"Cs(10) 6x6 7/8"" Unprimed Panel",10,1,Artist Panel Basswood,,6,6,"1/8""","5/8""","3/4""","1/2""",,,,,,,,,,,,,
UPP750808,"Cs(10) 8x8 7/8"" Unprimed Panel",10,1,Artist Panel Basswood,,8,8,"1/8""","5/8""","3/4""","1/2""",,,,,,,,,,,,,
UPWP150404,"Cs(10) 4x4 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,4,4,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150505,"Cs(10) 5x5 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,5,5,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150507,"Cs(10) 5x7 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,5,7,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150606,"Cs(10) 6x6 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150612,"Cs(10) 6x12 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,6,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150808,"Cs(10) 8x8 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150810,"Cs(10) 8x10 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,8,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150816,"Cs(5) 8x16 1.5"" Unprimed Pine",5,1,Artist Panel Basswood,,8,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP150912,"Cs(10) 9x12 1.5"" Unprimed Bass",10,1,Artist Panel Basswood,,9,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151010,"Cs(10) 10x10 1.5"" Unprime Bass",10,1,Artist Panel Basswood,,10,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151020,"Cs(5) 10x20 1.5"" UP Pine",5,1,Artist Panel Basswood,,10,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151114,"Cs(10) 11x14 1.5"" Unprime Bass",10,1,Artist Panel Basswood,,11,14,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151212,"Cs(10) 12x12 1.5"" Unprime Bass",10,1,Artist Panel Basswood,,12,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151216,"Cs(5) 12x16 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,12,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151224,"Cs(5) 12x24 1.5"" UP Pine",5,1,Artist Panel Basswood,,12,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151236,"Cs(4) 12x36 1.5"" UP Pine",4,1,Artist Panel Basswood,,12,36,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151418,"Cs(5) 14x18 1.5"" UP Pine",5,1,Artist Panel Basswood,,14,18,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151616,"Cs(5) 16x16 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,16,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151620,"Cs(5) 16x20 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,16,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151818,"Cs(5) 18x18 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,18,18,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP151824,"Cs(5) 18x24 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,18,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
UPWP152020,"Cs(5) 20x20 1.5"" Unprimed Bass",5,1,Artist Panel Basswood,,20,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
