SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
30382030,(10)20x30 Encausticbord 3.8cm,10,1,Encausticbord,,20,30,"1/8""","1 3/8""","1.5""","3/4"""
30382430,(5)24x30 Encausticbord 3.8cm,5,1,Encausticbord,,24,30,"1/8""","1 3/8""","1.5""","3/4"""
30383040,(5)30x40 Encausticbord 3.8cm,5,1,Encausticbord,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
30384040,(5)40x40 Encausticbord 3.8cm,5,1,Encausticbord,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
30384060,(5)40x60 Encausticbord 3.8cm,5,1,Encausticbord,,40,60,"1/8""","1 3/8""","1.5""","3/4"""
30385050,(5)50x50 Encausticbord 3.8cm,5,1,Encausticbord,,50,50,"1/8""","1 3/8""","1.5""","3/4"""
30385070,(2)50x70 Encausticbord 3.8cm,2,1,Encausticbord,,50,70,"1/8""","1 3/8""","1.5""","3/4"""
30631824,(10)18x24 Encausticbord 6.3mm,10,1,Encausticbord,,18,24,"1/4""",-,"1/4""",-
30632020,(10)20x20 Encausticbord 6.3mm,10,1,Encausticbord,,20,20,"1/4""",-,"1/4""",-
30632030,(10)20x30 Encausticbord 6.3mm,10,1,Encausticbord,,20,30,"1/4""",-,"1/4""",-
30632430,(10)24x30 Encausticbord 6.3mm,10,1,Encausticbord,,24,30,"1/4""",-,"1/4""",-
30633030,(5)30x30 Encausticbord 6.3mm,5,1,Encausticbord,,30,30,"1/4""",-,"1/4""",-
40031318,(10)13x18 Aquabord 3mm,10,1,Aquabord,,13,18,"1/8""",-,"1/8""",-
40031824,(10)18x24 Aquabord 3mm,10,1,Aquabord,,18,24,"1/8""",-,"1/8""",-
40032020,(10)20x20 Aquabord 3mm,10,1,Aquabord,,20,20,"1/8""",-,"1/8""",-
40032430,(10)24x30 Aquabord 3mm,10,1,Aquabord,,24,30,"1/8""",-,"1/8""",-
40033040,(10)30x40 Aquabord 3mm,10,1,Aquabord,,30,40,"1/8""",-,"1/8""",-
40034050,(10)40x50 Aquabord 3mm,10,1,Aquabord,,40,50,"1/8""",-,"1/8""",-
40222030,(10)20x30 Aquabord 2.2cm,10,1,Aquabord,,20,30,"1/8""","3/4""","7/8""","3/4"""
40223030,(5)30x30 Aquabord 2.2cm,5,1,Aquabord,,30,30,"1/8""","3/4""","7/8""","3/4"""
40223040,(5)30x40 Aquabord 2.2cm,5,1,Aquabord,,30,40,"1/8""","3/4""","7/8""","3/4"""
40224050,(5)40x50 Aquabord 2.2cm,5,1,Aquabord,,40,50,"1/8""","3/4""","7/8""","3/4"""
60031318,(10)13 x 18  Scratchbord 3mm,10,1,Scratchbord,,13,18,"1/8""",-,"1/8""",-
60031824,(10)18 x 24  Scratchbord 3mm,10,1,Scratchbord,,18,24,"1/8""",-,"1/8""",-
60032020,(10)20 x 20  Scratchbord 3mm,10,1,Scratchbord,,20,20,"1/8""",-,"1/8""",-
60032430,(10)24 x 30  Scratchbord 3mm,10,1,Scratchbord,,24,30,"1/8""",-,"1/8""",-
60033040,(10)30 x 40  Scratchbord 3mm,10,1,Scratchbord,,30,40,"1/8""",-,"1/8""",-
60034050,(10)40 x 50  Scratchbord 3mm,10,1,Scratchbord,,40,50,"1/8""",-,"1/8""",-
